kind	class	method	param	index	uri	reason	annotation	rootClass	rootMethod
FIELD	com.github.benmanes.caffeine.cache.PSRMS	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PSRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.PSRMS	null
PARAMETER	com.github.benmanes.caffeine.cache.PSRMS	setPreviousInAccessOrder(com.github.benmanes.caffeine.cache.Node)	previousInAccessOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PSRMS.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.PSRMS	setPreviousInAccessOrder(com.github.benmanes.caffeine.cache.Node)
PARAMETER	com.github.benmanes.caffeine.cache.PSRMS	setNextInAccessOrder(com.github.benmanes.caffeine.cache.Node)	nextInAccessOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PSRMS.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.PSRMS	setNextInAccessOrder(com.github.benmanes.caffeine.cache.Node)
FIELD	com.github.benmanes.caffeine.cache.PS	null	key	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.PS	null
FIELD	com.github.benmanes.caffeine.cache.PS	null	value	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.PS	null
FIELD	com.github.benmanes.caffeine.cache.PS	null	key	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.PS	null
FIELD	com.github.benmanes.caffeine.cache.PS	null	value	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.PS	null
PARAMETER	com.github.benmanes.caffeine.cache.PS	setValue(V,java.lang.ref.ReferenceQueue)	referenceQueue	1	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/PS.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.PS	setValue(V,java.lang.ref.ReferenceQueue)
FIELD	com.github.benmanes.caffeine.cache.FWWRMS	null	previousInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWWRMS	null
FIELD	com.github.benmanes.caffeine.cache.FWWRMS	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWWRMS	null
FIELD	com.github.benmanes.caffeine.cache.FWWRMS	null	previousInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWWRMS	null
FIELD	com.github.benmanes.caffeine.cache.FWWRMS	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWWRMS	null
FIELD	com.github.benmanes.caffeine.cache.FWWRMS	null	previousInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWWRMS	null
FIELD	com.github.benmanes.caffeine.cache.FWWRMS	null	nextInAccessOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWWRMS	null
PARAMETER	com.github.benmanes.caffeine.cache.FWWRMS	setPreviousInAccessOrder(com.github.benmanes.caffeine.cache.Node)	previousInAccessOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FWWRMS	setPreviousInAccessOrder(com.github.benmanes.caffeine.cache.Node)
PARAMETER	com.github.benmanes.caffeine.cache.FWWRMS	setNextInAccessOrder(com.github.benmanes.caffeine.cache.Node)	nextInAccessOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWWRMS.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FWWRMS	setNextInAccessOrder(com.github.benmanes.caffeine.cache.Node)
FIELD	com.github.benmanes.caffeine.cache.FWW	null	previousInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWW	null
FIELD	com.github.benmanes.caffeine.cache.FWW	null	nextInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWW	null
FIELD	com.github.benmanes.caffeine.cache.FWW	null	previousInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWW	null
FIELD	com.github.benmanes.caffeine.cache.FWW	null	nextInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWW	null
FIELD	com.github.benmanes.caffeine.cache.FWW	null	previousInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWW	null
FIELD	com.github.benmanes.caffeine.cache.FWW	null	nextInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FWW	null
PARAMETER	com.github.benmanes.caffeine.cache.FWW	setPreviousInVariableOrder(com.github.benmanes.caffeine.cache.Node)	previousInWriteOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FWW	setPreviousInVariableOrder(com.github.benmanes.caffeine.cache.Node)
PARAMETER	com.github.benmanes.caffeine.cache.FWW	setNextInVariableOrder(com.github.benmanes.caffeine.cache.Node)	nextInWriteOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FWW	setNextInVariableOrder(com.github.benmanes.caffeine.cache.Node)
PARAMETER	com.github.benmanes.caffeine.cache.FWW	setPreviousInWriteOrder(com.github.benmanes.caffeine.cache.Node)	previousInWriteOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FWW	setPreviousInWriteOrder(com.github.benmanes.caffeine.cache.Node)
PARAMETER	com.github.benmanes.caffeine.cache.FWW	setNextInWriteOrder(com.github.benmanes.caffeine.cache.Node)	nextInWriteOrder	0	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FWW.java	WRONG_OVERRIDE_PARAM	nullable	com.github.benmanes.caffeine.cache.FWW	setNextInWriteOrder(com.github.benmanes.caffeine.cache.Node)
FIELD	com.github.benmanes.caffeine.cache.SSSMSA	null	timerWheel	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SSSMSA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SSSMSA	SSSMSA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SSSMS	null	accessOrderEdenDeque	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SSSMS.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SSSMS	SSSMS(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SIA	null	accessOrderEdenDeque	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SIA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SIA	SIA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SIA	null	timerWheel	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SIA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SIA	SIA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.WILSMW	null	accessOrderEdenDeque	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/WILSMW.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.WILSMW	WILSMW(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SILMSA	null	timerWheel	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SILMSA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SILMSA	SILMSA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SILMS	null	accessOrderEdenDeque	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SILMS.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SILMS	SILMS(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SISA	null	accessOrderEdenDeque	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SISA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SISA	SISA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.SISA	null	timerWheel	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/SISA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.SISA	SISA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.WISMWA	null	timerWheel	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/WISMWA.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.WISMWA	WISMWA(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.WISMW	null	accessOrderEdenDeque	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/WISMW.java	ASSIGN_FIELD_NULLABLE	nullable	com.github.benmanes.caffeine.cache.WISMW	WISMW(com.github.benmanes.caffeine.cache.Caffeine,com.github.benmanes.caffeine.cache.CacheLoader,boolean)
FIELD	com.github.benmanes.caffeine.cache.FSAW	null	previousInWriteOrder	null	/home/nima/Developer/nullness-benchmarks/caffeine/caffeine/build/generated-sources/com/github/benmanes/caffeine/cache/FSAW.java	METHOD_NO_INIT	nullable	com.github.benmanes.caffeine.cache.FSAW	null
